Initialized
Press Enter to quit...
Connected
(612.122, 0.761449)
(616.724, 0.768647)
(620.234, 0.773992)
(624.513, 0.78012)
(627.213, 0.783451)
(630.241, 0.786542)
(631.507, 0.788661)
(632.811, 0.790876)
(635.996, 0.793741)
(641.217, 0.798183)
(643.394, 0.801569)
(644.073, 0.804648)
(643.893, 0.807821)
(642.893, 0.812297)
(641.157, 0.817296)
(638.927, 0.821192)
(636.801, 0.824022)
(635.02, 0.826458)
(633.157, 0.828546)
(631.065, 0.830358)
(626.815, 0.830792)
(624.009, 0.830924)
(622.234, 0.82977)
(620.126, 0.826887)
(617.241, 0.823081)
(614.025, 0.820242)
(610.36, 0.81622)
(606.115, 0.810933)
(600.67, 0.802905)
(596.806, 0.792723)
(592.774, 0.779105)
(590.498, 0.765048)
(588.531, 0.750124)
(586.564, 0.731414)
(582.973, 0.70937)
(580.714, 0.68882)
(577.043, 0.669538)
(572.46, 0.649258)
(566.712, 0.628942)
(560.496, 0.609724)
(553.328, 0.589861)
(546.26, 0.57324)
(536.832, 0.55494)
(528.22, 0.541096)
(519.403, 0.529333)
(510.008, 0.518831)
(502.62, 0.509379)
(496.564, 0.500484)
(489.548, 0.490351)
(482.491, 0.481085)
(477.167, 0.476429)
(472.736, 0.474222)
(468.906, 0.473388)
(465.472, 0.473823)
(463.009, 0.475821)
(461.21, 0.480001)
(459.716, 0.487296)
(459.264, 0.495318)
(459.675, 0.505312)
(461.448, 0.518828)
(464.794, 0.532689)
(472.353, 0.550122)
(480.27, 0.566441)
(492.277, 0.584184)
(503.879, 0.601999)
(512.213, 0.618279)
(520.639, 0.635105)
(531.38, 0.653115)
(542.346, 0.671034)
(559.414, 0.68989)
(569.662, 0.70238)
(578.935, 0.712477)
(589.533, 0.723045)
(599.906, 0.73322)
(611.573, 0.743556)
(623.487, 0.754411)
(634.724, 0.767017)
(646.114, 0.781134)
(656.119, 0.795337)
(665.364, 0.807556)
(674.058, 0.817748)
(684.955, 0.829629)
(699.117, 0.843273)
(708.454, 0.854908)
(715.883, 0.859382)
(721.778, 0.874582)
(724.409, 0.881674)
(728.228, 0.888547)
(731.063, 0.892295)
(738.799, 0.940605)
(743.87, 0.97439)
(753.097, 0.934121)
(753.368, 0.927428)
(752.806, 0.918891)
(750.631, 0.909045)
(746.133, 0.898526)
(739.345, 0.884977)
(732.917, 0.873473)
(728.765, 0.865684)
(721.991, 0.854188)
(715.759, 0.843182)
(709.55, 0.833611)
(704.062, 0.825624)
(696.723, 0.81971)
(688.103, 0.816133)
(679.807, 0.814774)
(673.991, 0.814382)
(670.176, 0.813815)
(666.615, 0.813126)
(663.466, 0.812589)
(660.264, 0.81243)
(656.875, 0.812696)
(653.386, 0.81281)
(651.198, 0.812401)
(649.578, 0.810937)
(648.314, 0.808047)
(646.019, 0.80214)
(641.981, 0.791791)
(638.106, 0.778572)
(635.533, 0.76501)
(633.26, 0.750751)
(630.359, 0.732052)
(627.988, 0.71224)
(626.139, 0.693638)
(624.378, 0.675742)
(621.674, 0.655332)
(618.131, 0.633918)
(613.745, 0.61445)
(608.695, 0.598272)
(602.732, 0.585504)
(596.715, 0.576243)
(591.172, 0.57021)
(585.812, 0.565041)
(580.959, 0.56117)
(576.083, 0.557536)
(571.797, 0.554625)
(568.161, 0.552315)
(565.56, 0.550852)
(562.932, 0.548679)
(560.879, 0.546131)
(559.185, 0.5429)
(557.311, 0.539052)
(554.782, 0.533907)
(552.122, 0.526031)
(549.835, 0.513953)
(548.247, 0.500616)
(547.434, 0.488018)
(546.832, 0.472857)
(545.941, 0.461276)
(544.662, 0.453341)
(543.233, 0.445549)
(541.675, 0.436308)
(540.888, 0.426686)
(540.306, 0.417268)
(539.645, 0.40801)
(538.787, 0.397569)
(537.685, 0.38633)
(536.567, 0.373697)
(535.529, 0.360843)
(534.964, 0.346049)
(534.795, 0.329926)
(534.775, 0.315757)
(534.542, 0.299027)
(533.951, 0.281186)
(533.182, 0.265501)
(532.854, 0.252261)
(532.924, 0.241412)
(533.163, 0.232391)
(532.865, 0.222592)
(533.777, 0.211782)
(534.077, 0.201979)
(534.335, 0.195313)
(535.19, 0.18878)
(536.178, 0.182831)
(536.875, 0.177444)
(536.592, 0.171838)
(535.493, 0.165171)
(534.285, 0.158769)
(533.246, 0.153816)
(531.427, 0.149694)
(528.101, 0.147958)
(524.376, 0.151144)
(522.395, 0.151934)
(521.431, 0.148044)
(520.037, 0.139396)
(515.742, 0.12844)
(510.019, 0.119401)
(503.228, 0.11259)
(495.263, 0.110614)
(486.209, 0.106562)
(479.909, 0.103198)
(475.626, 0.10134)
